<story>Sports|Cheating-Chinese-gymnasts-accustaion</story>
<start>20080815024037.299</start>
<end>20080815024529.458</end>
China's women's gymnastics team | won | gold 
China's gymnasts | outperformed | the U.S. team 
they | cleaned | a cloud of doubt 
the Chinese gymnasts | are | the Chinese gymnasts competitors 
A debate | has been raging | whether three of the six Chinese gymnasts 
the Associated Press | found | another Chinese news report online 
November | giving | one of the girl's ages 
article | was later pulled | the Web site 
China | insists | all the gymnasts 
She | won | gold 
1996 | medaled | 1992 
matter | doing | gymnastics 
as much height | to flip | around 
the same time | have | less experience 
a physical advantage | competing | a younger age 
The advantage | being | older is 
the Chinese gymnasts | average | years 
they | 're | 4 ' 7 '' 
they | 're | 77 pounds 
Health | said | 11-year-old Chinese girls 
A 2002 study by the National Institutes for Health | does seem | they 
they | 're | closer 
Shannon | might know | a bit 
they | do tend to change | people who train extremely hard , gymnasts , especially women , they hormonal concentrations 
They | tend to suppress | estrogen 
the estrogen production | may slow | the overall aging process 
they | seem | age 
a North Korean gymnast | lied | her age 
she | was actually | age 
that something | was right | a North Korean gymnast who lied about her age , who claimed to be 15 , which , at that time , was within the range limit 
kind of a story | broke | the Olympic Games 
She | did keep | her medals 
she | was | the best athlete 
She | deserved | the gold medal 
one of those things | 're going to have | that rule 
no one | would be talking | this that 
they | not won | the gold medal 
the same time | 've got | other countries 
USA | had | some major mistakes 
the same time | have | the three girls 
the Chinese team | is really | they 
some of these girls | are | age 
t | were | a couple of them 
They | 're | the scene 
their international experience | 're going to be | the Chinese Olympic team 
they | doing | the girls that look so young but also did n't have any experience to back them up bodies 
your bones | start to | fuse 
these things | called | growth plates 
they | 're not fully developed | a younger age 
a lot of wear | tear | those growth plates 
A lot of people | weighing | the blog 
