<story>Politics|Swift-boat-book-Obamanation</story>
<start>20080814205825.834</start>
<end>20080814205953.108</end>
many Americans | ca n't think | themselves 
Rush Limbaugh | would n't make | $ 400 million 
Kerry's Swift Boating demise | was | as much 
The guy | could n't give | a straight answer 
Obama | has | a machine 
place | can rapidly expose | the liars 
The success of the Swift Boaters | was | a large way 
any real investigative reporting | finding | the Swift Boaters 
they | said | fact 
Kerry | to defend | himself 
the media | will take | a more professional , responsible approach 
