<story>Crime|Caylee-Anthony-missing</story>
<start>20080812023609.666</start>
<end>20080812023951.955</end>
Caylee Anthony | turned | 3 
gifts | sent | people 
She | has not been seen | nearly two months 
The family | telling | 360 
they | think | she 
an appeals court | denied to lower | the bond 
Casey Anthony | is being held | child neglect charges 
false statements | saying | Caylee 's mother daughter 
She | refused | jail visits 
Caylee's grandparents | are talking | 360's '' Randi Kaye 
they | spent | the day towing 
George and Cindy Anthony | believe | Caylee 
the billboard | may spark | the phone call 
The person or persons | has | my granddaughter 
something | will click | Three-year-old Caylee Anthony 's grandparents brain 
we | 've kept | this girl 
somebody | is going to just realize | she 
Her grandparents | believe | a doubt 
Caylee | left | the house 
Casey | did not report | the little girl 
Casey | is | jail 
child neglect | obstructing | a criminal investigation 
Casey | lied | investigators 
she | 's only trying to protect | Caylee 
they | think | she 
she | might have harmed | your granddaughter 
those people | do n't know | my daughter 
knows Casey | knows | she 
she | would do | anything 
a jail cell | to protect | her daughter 's daughter 
she | be protecting | Caylee from 
Someone | may have threatened to harm | Caylee 
her daughter 's mom | was mixed up | in 
Some | have suggested | Casey 
she | saw | something 
somebody | did | my granddaughter 
We | have learned | they 
the air | found | the car Casey 
which | specializes | body decomposition 
They | 're testing | the air 
chemical compounds | found | cadavers 
The Anthonys | believe | they 
the verge | finding | Caylee alive 
he | thought | he 
The Anthonys | just | today 
just | be | wishful thinking 
he | believes | they 
He | believes | this week 
he | 's calling | some very good news 
We | 're going to have | more 
Caylee's mother | is | jail 
she | may have | information 
We | 'll get | some answers 
the family | has | people 
